,temp_c,temp_anomaly,humidity,wind_speed,precip_mm,precip_anomaly,pressure,drought_index,flood_risk,wildfire_risk,extreme_event_index,sst_anomaly,co2_ppm
2010-01-01,20.993428306022466,0.32969500723258943,78.57749635129986,3.5518752247231316,0.15495677555408707,-1.8190666526898267,1015.4962489795446,0.562856238817282,0.1,0.10334583776146174,0.19397325205169746,0.5067391078482021,394.5023252078269
2010-01-02,19.895604959215976,0.6020218613480702,77.68043165178703,4.84775659948765,0.38839416692897694,-1.5856292613149368,1013.1808156488098,0.2828817230332272,0.1,0.11393467950455258,0.2243825899861728,0.2873650973515206,396.06437336007315
2010-01-03,21.63959319242884,0.16332120412761308,62.32487726066134,5.8191819753538025,0.194922118064179,-1.7791013101797348,1013.5768750620896,0.5666812074875546,0.1,0.11639060160014511,0.18124930089280483,0.4191451337495215,395.6890354496904
2010-01-04,23.562256385048588,0.06702760491423074,71.03660526707296,2.221088354440284,0.5578739968555426,-1.4161494313883711,1012.4998249458871,0.8356983883281224,0.1,0.1737043270804537,0.1888140586155592,0.0989005227421145,394.1169705387037
2010-01-05,20.219717518576527,0.06727679139412633,73.79256639237974,6.541860342108702,1.2306407065237341,-0.7433827217201796,1011.2051417833085,0.27200635269925166,0.1,0.10275092981512406,0.16755295808394985,0.19902989840175528,395.07142193029483
2010-01-06,20.391374073476104,-0.6450201976457666,79.15435437406258,5.611573772103387,4.746242702235367,2.7722192739914533,1014.543670026704,0.11935959998893472,0.1,0.09532900104358183,0.2231007200776512,0.44339771713690734,395.1491881492791
2010-01-07,24.18944260548913,0.30782661724339305,79.3005489134228,6.026032740059647,4.111743112858279,2.137719684614365,1010.3793150509595,0.5270720689608556,0.1,0.17220265121427109,0.2124434570886206,0.21307942288374443,395.115184769323
2010-01-08,22.736949907299344,0.13851636071823523,77.15523962007045,4.947904855503294,2.5359549544301982,0.5619315261862845,1011.738535142416,0.24887686474803353,0.1,0.11085145987996735,0.17710707403581374,0.4705146897803662,394.9574713369921
2010-01-09,20.433838949262746,0.2407256328888293,81.3297547850083,3.6891138347744388,0.04881564336734675,-1.925207784876567,1014.0414271010538,-0.07079302129996054,0.1,0.09065028482800452,0.1812676487372843,0.3655169738789272,395.7040912037134
2010-01-10,22.62820829381474,-0.0872916016936865,73.16410446567068,5.996989418309795,0.8352450255169839,-1.1387784027269299,1012.0735624074849,0.2634673942578173,0.1,0.08408903924073986,0.16395587194159061,0.2387084755455236,395.8429654750782
